States,Districts,Personal Habits (age 15 years and above) (%) - Men who use any kind of smokeless tobacco,Personal Habits (age 15 years and above) (%) - Women who use any kind of smokeless tobacco,Personal Habits (age 15 years and above) (%) - Men who smoke,Personal Habits (age 15 years and above) (%) - Women who smoke,Personal Habits (age 15 years and above) (%) - Men who consume alcohol,Personal Habits (age 15 years and above) (%) - Women who consume alcohol
Maharashtra,Ratnagiri,35.7,18.5,9.3,0.5,13.3,0.8
Maharashtra,Sindhudurg,28.2,9,4.4,0.3,8.4,0.3
Maharashtra,Kolhapur,20.7,6.1,2.7,0.1,6.6,0.3
Maharashtra,Sangli,29.6,6.6,3.9,4.8,6.6,0.2
Manipur,Total,65.6,51.4,50.4,11.2,46.3,7
Manipur,Senapati,55.7,38.7,51.5,10.6,40,5.8
Manipur,Tamenglong,56,34.2,34.9,10.8,38.5,12.8
Manipur,Churachandpur,81.6,69.8,74.7,34.9,60.2,23.3
Manipur,Bishnupur,51.8,41.3,45,6.7,34.8,1.4
Manipur,Thoubal,72.1,59.3,51.8,7.3,51,1.9
Manipur,Imphal West  ,53.4,64.6,47.3,6.3,45.1,3.1
Manipur,Imphal East  ,68.8,62.3,43.8,6.2,44.1,3.7
Manipur,Ukhrul,66.4,46,56.8,8.5,50.8,7.8
Manipur,Chandel,74.6,59.5,56,18.4,58.4,10.9
Meghalaya,Total,86.7,87.2,52.3,5,34.4,2.4
Meghalaya,West Garo Hills,68.5,71.5,31.9,7.4,23.4,4.9
Meghalaya,East Garo Hills,88.3,85.7,48.9,8.3,32.4,5.3
Meghalaya,South Garo Hills,82.3,89.6,43.3,4.2,33.3,2.3
Meghalaya,West Khasi Hills,92.6,91.9,56.1,7.3,30.7,1.7
Meghalaya,Ri Bhoi,88.8,89.6,56.6,2.7,40.4,1.4
Meghalaya,East Khasi Hills,90.8,89.6,66.4,3.4,43.2,1.4
Meghalaya,Jaintia Hills,92.5,92.3,59.8,3.7,37.4,1.3
Mizoram,Total,79.3,77.4,63.4,21.5,32.6,1.9
Mizoram,Mamit,83.2,82.8,69.5,27.2,34,1.5
Mizoram,Kolasib,82.8,83,61.3,21.9,40,2.5
Mizoram,Aizawl,73.1,71.6,58.4,15.5,29,1
Mizoram,Champhai,78.8,76.6,69.4,26,27.9,1.3
Mizoram,Serchhip,76.5,76.2,60.5,22.1,30,1.5
Mizoram,Lunglei,81.5,78.3,62.5,19.4,31.1,1.6
Mizoram,Lawngtlai,81.4,74.3,69.4,32.4,42.9,6.2
Mizoram,Saiha,82.9,79.1,65,17.4,29.7,1.2
Nagaland,Total,64.2,34.5,35.1,1.4,40,4.5
Nagaland,Mon,69.1,24,57.7,2.6,62.2,12.8
Nagaland,Tuensang,72.7,51.4,37.7,1.2,39.2,4.7
Nagaland,Mokokchung,56,39.3,31.8,1,22.2,1.1
Nagaland,Zunheboto,67.6,39.7,30.6,0.8,47.5,2.7
Nagaland,Wokha,59.3,22.7,28.7,0.4,39.4,1.4
Nagaland,Dimapur,60.9,36.5,34.3,0.8,40.8,4.2
Nagaland,Kohima,56,27.8,26.5,0.8,31.3,5.1
Nagaland,Phek,55.5,28.4,28.9,1.8,42,7.3
Nagaland,Kiphire,68.8,28.8,46.8,3.7,46.3,5.5
Nagaland,Longleng,72.7,37.9,50.4,3.9,44.8,6.4
Nagaland,Paren,68.8,19.6,42.9,4,55.8,3
Pudducherry,Total,3.3,4,11.2,0.3,15.5,0.4
Pudducherry,Yanam,1.5,0.2,12.6,0.4,18.5,0.4
Pudducherry,Pondicherry,3.7,7,10.3,0.3,15.6,0.8
Pudducherry,Mahe,0.4,0.4,6.1,0.2,8,0.1
Pudducherry,Karaikal,7.2,7.6,15.3,0.2,18.9,0.5
Punjab,Total,10.2,0.4,11.8,0.3,34.9,0.7
Punjab,Gurdaspur,7.9,0.2,17,0.3,38.2,1.1
Punjab, Amritsar,7.9,0.2,17,0.3,38.2,1.1
Punjab,Kapurthala,3.2,0.4,9.3,0.5,30.8,1.4
Punjab, Jalandhar,7.9,0.2,17,0.3,38.2,1.1
Punjab,Hoshiarpur,9.1,0.1,21.6,0.3,38.7,0.8
Punjab,Shahid Bhagat Singh Nagar,10.3,0.2,16.5,0.4,35.4,0.9
Punjab,Rupnagar,9.5,0.2,11.5,0.3,32.9,0.6
Punjab,Fatehgarh Sahib,12.5,0.5,9.7,0.3,47.3,0.7
Punjab,Ludhiana,13.5,0.8,13,0.2,37.1,1
Punjab,Moga,11.4,0.5,8.3,0.1,31.4,0.5
Punjab,Firozpur,11.8,1.2,10.6,0.2,19.1,0.3
Punjab,Muktsar,11.7,0.3,13.2,0.3,28.6,0.3
Punjab,Faridkot,10.2,0.1,10.5,0.2,30.1,0.5
Punjab,Bhathinda,9.1,0.5,7.4,0.2,29.6,1
Punjab,Mansa,10.3,0.9,9.6,0.1,26.3,0.2
Punjab,Sangrur,7.7,0.4,8,0.5,28.2,0.7
Punjab,Patiala,6.3,0.1,9.3,0.1,30.9,0.9
Punjab,SAS Nagar,15.9,0.4,15.3,0.1,53.2,0.5
Punjab,Barnala,12,0.3,7.5,0.2,42.2,0.8
Punjab,Taran Taran,4.9,0.1,9.9,0.5,35.3,1.4
Sikkim,Total,39.3,23.6,23.4,5.2,45.3,26
Sikkim,North,34.1,21.2,18.5,3.4,47.9,32.9
Sikkim,West,41.1,24.8,23.9,7.1,49.3,26.6
Sikkim,South,40.8,21.5,24.2,7.4,41.7,24.5
Sikkim,East,40.2,26.6,24.3,3.7,43.5,23.2
Tamil Nadu,Total,9.4,8.1,15.4,0.4,19.3,0.5
Tamil Nadu,Thiruvallur ,5,4.7,11.5,0.2,18.4,0.7
Tamil Nadu,Chennai ,3.1,1.2,8.5,0.2,12.2,0.3
Tamil Nadu,Khancheepuram ,10.1,8.5,14,0.7,25.9,0.4
Tamil Nadu,Vellore ,4.2,4.9,12.1,0.2,17.2,0.6
Tamil Nadu,Dharmapuri ,5.3,6.8,17.8,0.7,20.4,0.6
Tamil Nadu,Tiruvannamalai ,3.7,5.3,12.7,0.3,18.2,0.5
Tamil Nadu,Viluppuram ,12.1,11.3,13.6,0.5,20.5,0.9
Tamil Nadu,Salem ,10.7,11.7,16.4,0.4,15.9,0.4
Tamil Nadu,Namakkal ,8.4,8.4,17.2,0.7,22,0.5
Tamil Nadu,Erode ,11.1,15.9,21,0.5,20.1,0.3
Tamil Nadu,Nilgiris ,5.5,9.8,16.5,1,18.7,0.8
Tamil Nadu,Coimbatore ,8.9,13.4,18.7,0.6,17.9,1.2
Tamil Nadu,Dindigul ,13.7,10.4,18,0.5,21.2,0.4
Tamil Nadu,Karur ,16.7,4.8,24.9,0.2,28.2,0.4
Tamil Nadu,Tiruchirappalli ,9.8,6.1,16.7,0.1,18.6,0.3
Tamil Nadu,Perambalur ,14.2,10.3,11.9,0.4,19.6,0.6
Tamil Nadu,Ariyalur ,13.7,11.4,7.6,0.1,12,0.2
Tamil Nadu,Cuddalore ,9.2,7.9,14.4,0.5,21.7,0.6
Tamil Nadu,Nagapattinam ,19.9,13.9,17,0.2,22.5,0.4
Tamil Nadu,Thiruvarur ,18.4,14.2,15.7,0.7,21.3,0.7
Tamil Nadu,Thanjavur ,18.1,11.7,16,0.7,19.6,0.2
Tamil Nadu,Pudukkottai,13.6,8.3,11.6,0.2,16.5,0.5
Tamil Nadu,Sivaganga,16.3,12.4,20,0.4,31.9,0.9
Tamil Nadu,Madurai,8.5,4.9,20.3,0.2,23.9,0.5
Tamil Nadu,Theni,3.6,4.5,13.6,0.3,11.6,0.5
Tamil Nadu,Virudhunagar,6.3,2.6,10.7,0.3,11.9,0.6
Tamil Nadu,Ramanathapuram ,3.8,2.7,11.5,0.1,18,0.3
Tamil Nadu,Thoothukkudi ,5.2,2.4,13.7,0.4,17.7,0.8
Tamil Nadu,Thirunelveli ,4.4,3,15.7,0.3,15.7,0.3
Tamil Nadu,Kanniyakumari ,7.3,2,13.3,0.1,16.6,0.2
Tamil Nadu,Krishnagiri ,7.6,12.4,16.9,0.3,15.6,0.4
Tamil Nadu,Tiruppur ,8.6,16.3,25.1,0.9,27.4,1.1
Telangana,Total,17.9,7.8,26.3,2.6,36.7,4.4
Telangana,Adilabad,25,11.7,21.7,1.3,34,1.7
Telangana,Nizamabad,27.5,11.6,26.7,2.8,40,5.3
Telangana,Karimnagar,11.2,2.6,32,1.5,37.8,1.9
Telangana,Medak,11.3,4.8,19.7,1.1,25.5,2.8
Telangana,Hyderabad,19.1,3.8,24.5,2.2,36.3,2.9
Telangana,Rangareddi,17.6,8.9,25,2.6,34.4,4.8
Telangana,Mahbubnagar,10.5,6.6,21.6,2.2,37.6,5.5
Telangana,Nalgonda,7.1,2.4,28.7,2.3,40.5,3.2
Telangana,Warangal,31.2,11.9,33.1,4.5,43.7,7.2
Telangana,Khammam,10.6,1.8,26.5,2.8,34.2,3.4
Tripura,Total,66.6,65.8,32.2,4.3,26.8,7
Tripura,West Tripura,55.7,51.2,27.5,1.7,21.6,1.3
Tripura,South Tripura,72.3,73.9,35.5,8.2,31.9,11.1
Tripura,Dhalai,67.8,68.1,31.2,7.3,33.5,11.5
Tripura,North Tripura,76.3,75.3,36.8,2.2,22.6,1.3
West Bengal,Total,41.5,22.9,41.2,2.8,23,2.3
West Bengal,Darjeeling,36.3,19.8,33.6,2.8,29.3,3.9
West Bengal,Jalpaiguri,38.2,30.9,33.6,2.9,18.4,2.8
West Bengal,Koch Bihar,60.8,57.3,46,1.7,25.4,0.6
West Bengal,Uttar Dinajpur,39.9,26.8,37.6,3.5,14.9,0.4
West Bengal,Dakhin Dinajpur,41.8,21.5,44.3,4.1,24.6,3.6
West Bengal,Maldah,35.5,13.7,32.8,3.7,18.3,2.6
West Bengal,Murshidabad,37.7,13.9,50.9,1,22.4,0.7
West Bengal,Birbhum,36.8,19.1,51.9,7.1,32.6,5
West Bengal,Barddhaman,37.2,15.5,44.7,2.6,25.6,2.9
West Bengal,Nadia,38.2,17.6,46.7,3.1,25.3,1.3
West Bengal,North 24 parganas,40.4,19.3,36.2,2.1,19.1,0.3
West Bengal,Hugli,34.5,21.6,39.3,1,28.6,0.3
West Bengal,Bankura,41.7,29.5,50,1.3,27,0.7
West Bengal,Puruliya,48.4,29.2,34.9,3.2,25.6,3.7
West Bengal,Paschim Medinipur,38.2,27,32.5,1.3,14.1,1.8
West Bengal,Haora,22.2,9,30.4,0.2,19,0.3
West Bengal,Kolkata,32.9,12.9,31.5,1.3,21.4,1.6
West Bengal,South 24 Parganas,49.8,21.7,43.5,2.6,22,1.7
West Bengal,Purba Medinipur,44.4,23.8,35,1.3,17.6,0.3
